dummy,companyName,companyNameHebrew,sector,employees,area,locationName,locationArea,lat,lon,,,,
1,Axerra,אקסרה,תקשורת,40,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Safend,סייפאנד,אבטחת מידע,50,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Web Silicon,ווב סיליקון,תקשורת,20,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Zlango,זילנגו,מולטימדיה,20,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Primesense,פריים סנס,סמיקונדקטור,90,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Mellanox,מלאנוקס,סמיקונדקטור,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Tel Aviv University,אוניברסיטת תל אביב,אקדמיה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Convergys,קונברגיס,תוכנה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Systematics,סיסטמטיקס,תוכנה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Synerion,סינריון,תוכנה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,WebCollage,ווב קולג',אינטרנט,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,FiftyOne,פיפטי-וואן,אינטרנט,70,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,SII,מכון התקנים,תקינה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Medinol,מדינול,מכשור רפואי,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,BSP,בי.אס.פי,מכשור רפואי,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Eastronics,איסטרוניקס,רכיבים אלקטרונים,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Oberon,אוברון מדיה,משחקי מחשב,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,iMDsoft,איי.אם.די סופט,תוכנה רפואית,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Compugen,קומפיוג'ן,תרופות,40,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Starlims,סטארלימס,תוכנה לניהול מעבדות,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Elad,אלעד,IT,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Genoa,גנואה,סמיקונדקטור,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Ipoint,אייפוינט מדיה,מולטימדיה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Perion,פריון - אינקרדימייל,אינטרנט,100,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,JumpTap,ג'מפטאפ,אינטרנט,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Dome9,דום9,אינטרנט,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Websplanet,וובס פלנט,אינטרנט,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Extricom,אקסטריקום,תקשורת,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Red-C,רד סי,תקשורת,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Forescout,פורסקאוט,תקשורת,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,WeFi,ויפי,תקשורת,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Broadcom - SC2,ברודקום - אס.סי,אבטחת מידע,20,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Comda,קומדע,אבטחת מידע,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Utopy,אוטופי,עיבוד קול,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,cVidya,סיבידיה,עיבוד וידאו,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Actus,אקטוס,עיבוד וידאו,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Gigoptics,גיגאופטיקס,רכיבים אופטים,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Giraffic,ג'ירפיק,תקשורת,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Comsign,קומסיין,אבטחת מידע,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Control applications,ישומי בקרה,בקרה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Ramdor,רמדור,תוכנה,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Cheetah,צ'יטה מדיקל,מכשור רפואי,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Abbott,אבוט,תרופות,,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Abiry,אבירי,בקרת הינע,,תל אביב,קרית עתידים,רמת החייל,,,,,,
